produto	uf	cidade	preco	unidade	data	fonte_url	observacao
Soja	BA	Oeste da Bahia - AIBA	112,5	Saca 60 kg	15/05/2026	https://aiba.org.br/cotacoes/	Cotação regional AIBA - Soja Disponível.
Soja	BA	Oeste da Bahia - AIBA Balcão	110,33	Saca 60 kg	15/05/2026	https://aiba.org.br/cotacoes/	Cotação regional AIBA - Soja Balcão.
Arroz	BA	Oeste da Bahia - AIBA	79,5	Saca 60 kg	15/05/2026	https://aiba.org.br/cotacoes/	Cotação regional AIBA - Arroz em Casca.
Sorgo	BA	Oeste da Bahia - AIBA	42,17	Saca 60 kg	15/05/2026	https://aiba.org.br/cotacoes/	Cotação regional AIBA - Sorgo.
Milho	BA	Oeste da Bahia - AIBA	54,17	Saca 60 kg	15/05/2026	https://aiba.org.br/cotacoes/	Cotação regional AIBA - Milho.
Feijão	BA	Oeste da Bahia - AIBA	420	Saca 60 kg	15/05/2026	https://aiba.org.br/cotacoes/	Cotação regional AIBA - Feijão Carioca.
Algodão	BA	Oeste da Bahia - AIBA	140,25	Arroba (@)	15/05/2026	https://aiba.org.br/cotacoes/	Cotação regional AIBA - Algodão Pluma.
